instruction,context
Extract the countries and their corresponding populations from the country list.,<html><body><div><ul><li><h2>Country: China</h2><p>Population: 1.4 billion</p></li><li><h2>Country: India</h2><p>Population: 1.3 billion</p></li><li><h2>Country: United States</h2><p>Population: 331 million</p></li></ul></div></body></html>
Extract the car models and their corresponding prices from the car dealership.,"<html><body><div><table><tr><td>Car Model</td><td>Price</td></tr><tr><td>Tesla Model S</td><td>$80,000</td></tr><tr><td>BMW X3</td><td>$60,000</td></tr><tr><td>Toyota Corolla</td><td>$20,000</td></tr></table></div></body></html>"
Extract the session names and their corresponding timings from the fitness class schedule.,<html><body><div><ul><li><h2>Yoga</h2><p>9 AM</p></li><li><h2>Strength Training</h2><p>11 AM</p></li><li><h2>Spinning</h2><p>1 PM</p></li></ul></div></body></html>
Extract the job titles and their corresponding descriptions from the job posting list.,<html><body><div><dl><dt>Software Engineer</dt><dd>Design and implement software applications.</dd><dt>Data Scientist</dt><dd>Analyze and interpret complex datasets.</dd><dt>Product Manager</dt><dd>Guide the success of a product and lead the team.</dd></dl></div></body></html>
Extract the restaurant names and their corresponding ratings from the restaurant review page.,<html><body><div><table><tr><td>Restaurant</td><td>Rating</td></tr><tr><td>Pizza Palace</td><td>4.5</td></tr><tr><td>Burger Bar</td><td>4.0</td></tr><tr><td>Sushi Central</td><td>4.7</td></tr></table></div></body></html>
Extract the blog post titles and their corresponding authors from the blog page.,<html><body><div><ul><li><h2>Machine Learning in Healthcare</h2><p>Author: Alice Smith</p></li><li><h2>The Rise of Remote Work</h2><p>Author: Bob Johnson</p></li><li><h2>Sustainable Living Tips</h2><p>Author: Charlie Brown</p></li></ul></div></body></html>
Extract the room types and their corresponding prices from the hotel booking page.,<html><body><div><dl><dt>Single Room</dt><dd>Price: $100 per night</dd><dt>Double Room</dt><dd>Price: $150 per night</dd><dt>Deluxe Suite</dt><dd>Price: $200 per night</dd></dl></div></body></html>
Extract the book titles and their corresponding publishers from the book catalog.,<html><body><div><table><tr><td>Book Title</td><td>Publisher</td></tr><tr><td>The Great Gatsby</td><td>Scribner</td></tr><tr><td>1984</td><td>Secker & Warburg</td></tr><tr><td>To Kill a Mockingbird</td><td>J. B. Lippincott & Co.</td></tr></table></div></body></html>
Extract the pet names and their corresponding species from the pet directory.,<html><body><div><ul><li><h2>Pet: Fido</h2><p>Species: Dog</p></li><li><h2>Pet: Whiskers</h2><p>Species: Cat</p></li><li><h2>Pet: Fluffy</h2><p>Species: Rabbit</p></li></ul></div></body></html>
Extract the names of all speakers and their corresponding talk topics from the conference schedule.,<html><body><div><ol><li><h2>Speaker: Jane Doe</h2><p>Topic: Advances in Artificial Intelligence</p></li><li><h2>Speaker: John Doe</h2><p>Topic: The Future of Blockchain Technology</p></li><li><h2>Speaker: Judy Doe</h2><p>Topic: Exploring Quantum Computing</p></li></ol></div></body></html>
Extract the tutorial titles and their corresponding levels from the online course catalog.,<html><body><div><dl><dt>Tutorial: Intro to Python</dt><dd>Level: Beginner</dd><dt>Tutorial: Advanced Data Structures</dt><dd>Level: Intermediate</dd><dt>Tutorial: Mastering Machine Learning</dt><dd>Level: Advanced</dd></dl></div></body></html>
Extract the research paper titles and their corresponding authors from the research database.,<html><body><div><table><tr><td>Research Paper</td><td>Author</td></tr><tr><td>Deep Residual Learning for Image Recognition</td><td>Kaiming He</td></tr><tr><td>Attention Is All You Need</td><td>Ashish Vaswani</td></tr><tr><td>Generative Adversarial Networks</td><td>Ian Goodfellow</td></tr></table></div></body></html>
Extract all the song titles and their corresponding artist names from the music chart.,<html><body><div><table><tr><td>Song Title</td><td>Artist</td></tr><tr><td>Bad Habits</td><td>Ed Sheeran</td></tr><tr><td>Stay</td><td>The Kid LAROI & Justin Bieber</td></tr><tr><td>Industry Baby</td><td>Lil Nas X & Jack Harlow</td></tr></table></div></body></html>
Extract all movie titles and their corresponding release years from the movie list.,<html><body><div><ul><li><h2>Movie: The Shawshank Redemption</h2><p>Release Year: 1994</p></li><li><h2>Movie: The Godfather</h2><p>Release Year: 1972</p></li><li><h2>Movie: The Dark Knight</h2><p>Release Year: 2008</p></li></ul></div></body></html>
Extract all the game titles and their corresponding platforms from the game catalog.,<html><body><div><dl><dt>Game: The Legend of Zelda: Breath of the Wild</dt><dd>Platform: Nintendo Switch</dd><dt>Game: God of War</dt><dd>Platform: PlayStation 4</dd><dt>Game: Halo Infinite</dt><dd>Platform: Xbox Series X</dd></dl></div></body></html>
Extract all food items and their corresponding prices from the menu.,<html><body><div><table><tr><td>Food Item</td><td>Price</td></tr><tr><td>Pizza</td><td>$10</td></tr><tr><td>Burger</td><td>$8</td></tr><tr><td>Pasta</td><td>$12</td></tr></table></div></body></html>
Extract all the book titles and their corresponding authors from the bookshelf.,<html><body><div><ul><li><h2>Book: Pride and Prejudice</h2><p>Author: Jane Austen</p></li><li><h2>Book: Moby-Dick</h2><p>Author: Herman Melville</p></li><li><h2>Book: To Kill a Mockingbird</h2><p>Author: Harper Lee</p></li></ul></div></body></html>
Extract all the team names and their corresponding scores from the sports leaderboard.,<html><body><div><dl><dt>Team: Eagles</dt><dd>Score: 28</dd><dt>Team: Tigers</dt><dd>Score: 24</dd><dt>Team: Sharks</dt><dd>Score: 30</dd></dl></div></body></html>
Extract all the company names and their corresponding stock prices from the stock market page.,<html><body><div><table><tr><td>Company</td><td>Stock Price</td></tr><tr><td>Apple</td><td>$150</td></tr><tr><td>Microsoft</td><td>$280</td></tr><tr><td>Google</td><td>$2700</td></tr></table></div></body></html>
Extract all the professor names and their corresponding office hours from the university directory.,<html><body><div><ul><li><h2>Professor: John Doe</h2><p>Office Hours: Monday 10 AM - 12 PM</p></li><li><h2>Professor: Jane Doe</h2><p>Office Hours: Wednesday 1 PM - 3 PM</p></li><li><h2>Professor: Jimmy Doe</h2><p>Office Hours: Friday 9 AM - 11 AM</p></li></ul></div></body></html>
Extract all the names of the planets and their corresponding distances from the Sun from the solar system page.,<html><body><div><dl><dt>Planet: Mercury</dt><dd>Distance from the Sun: 57.91 million km</dd><dt>Planet: Venus</dt><dd>Distance from the Sun: 108.2 million km</dd><dt>Planet: Earth</dt><dd>Distance from the Sun: 149.6 million km</dd></dl></div></body></html>
Extract all the names of the apps and their corresponding developers from the app store.,"<html><body><div><table><tr><td>App</td><td>Developer</td></tr><tr><td>Facebook</td><td>Facebook, Inc.</td></tr><tr><td>Instagram</td><td>Instagram, Inc.</td></tr><tr><td>WhatsApp</td><td>WhatsApp, Inc.</td></tr></table></div></body></html>"
Extract the quote and the author's name from the blockquote element.,<html><body><div><blockquote cite='author'><p>Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.</p><footer>Albert Einstein</footer></blockquote></div></body></html>
Fetch the data from the form fields.,<html><body><div><form><label for='fname'>First Name:</label><input type='text' id='fname' value='John'><label for='lname'>Last Name:</label><input type='text' id='lname' value='Doe'></form></div></body></html>
Extract the headlines and sub-headlines from the article.,<html><body><div><article><h1>Top AI Trends for 2023</h1><h2>1. Improved Natural Language Processing</h2><h2>2. Advancements in Machine Learning</h2><h2>3. Rise of Quantum Computing</h2></article></div></body></html>
Fetch the email addresses mentioned in the address tags.,<html><body><div><address>Email: john@example.com</address><address>Email: jane@example.com</address><address>Email: doe@example.com</address></div></body></html>
Extract the summary and details from the details tag.,<html><body><div><details><summary>Important</summary><p>This is a very important message</p></details></div></body></html>
Extract the title of the image and the alt text.,<html><body><div><figure><img src='img_forest.jpg' alt='Forest Image' title='Beautiful Forest'><figcaption>Fig.1 - A view of a forest.</figcaption></figure></div></body></html>
Extract the main point and the items of the unordered list inside the aside tag.,<html><body><div><aside><p>Main Point: Machine Learning is the future</p><ul><li>Item 1: Deep Learning</li><li>Item 2: Neural Networks</li><li>Item 3: Reinforcement Learning</li></ul></aside></div></body></html>
Extract the content of the paragraph inside the main tag.,<html><body><div><main><p>This is the main content of the page.</p></main></div></body></html>
Extract the title and the audio source from the audio tag.,<html><body><div><audio controls title='My favorite song'><source src='my_favorite_song.mp3' type='audio/mpeg'>Your browser does not support the audio element.</audio></div></body></html>
Extract the data from the table including the headers.,<html><body><div><table><tr><th>Name</th><th>Email</th></tr><tr><td>John Doe</td><td>john@example.com</td></tr><tr><td>Jane Doe</td><td>jane@example.com</td></tr></table></div></body></html>
Extract the countries and their corresponding populations from the country list.,<html><body><div><ul><li><h2>Country: China</h2><p>Population: 1.44 billion</p></li><li><h2>Country: India</h2><p>Population: 1.38 billion</p></li><li><h2>Country: United States</h2><p>332 million</p></li></ul></div></body></html>
Extract the car models and their corresponding prices from the car dealership.,"<html><body><div><table><tr><td>Car Model</td><td>Price</td></tr><tr><td>Tesla Model 3</td><td>$46,990</td></tr><tr><td>Ford F-150</td><td>$29,995</td></tr><tr><td>Toyota Camry</td><td>$25,295</td></tr></table></div></body></html>"
Extract the countries and their corresponding number of cars per capita from the car ownership data.,<html><body><div><table><tr><td>Country</td><td>Cars per capita</td></tr><tr><td>United States</td><td>835</td></tr><tr><td>Germany</td><td>609</td></tr><tr><td>Japan</td><td>537</td></tr></table></div></body></html>
Extract the countries and their corresponding GDPs from the list.,<html><body><div><ul><li><h2>Country: China</h2><p>GDP: $14.72 trillion</p></li><li><h2>Country: United States</h2><p>GDP: $20.94 trillion</p></li><li><h2>Country: India</h2><p>GDP: $2.94 trillion</p></li></ul></div></body></html>
Extract the car brands and their corresponding models from the list.,"<html><body><div><ul><li><h2>Car Brand: Tesla</h2><p>Models: Model S, Model 3, Model X</p></li><li><h2>Car Brand: BMW</h2><p>Models: 3 Series, 5 Series, 7 Series</p></li><li><h2>Car Brand: Toyota</h2><p>Models: Corolla, Camry, Highlander</p></li></ul></div></body></html>"
Extract the car colors and their corresponding popularity from the list.,<html><body><div><ul><li><h2>Car Color: White</h2><p>Popularity: 25%</p></li><li><h2>Car Color: Black</h2><p>Popularity: 20%</p></li><li><h2>Car Color: Silver</h2><p>Popularity: 15%</p></li></ul></div></body></html>
Extract the countries and their corresponding populations from the country list.,<html><body><div><ul><li><h2>Country: China</h2><p>Population: 1.4 billion</p></li><li><h2>Country: India</h2><p>Population: 1.3 billion</p></li><li><h2>Country: United States</h2><p>331 million</p></li></ul></div></body></html>
Extract the car models and their corresponding prices from the car dealership.,"<html><body><div><table><tr><td>Car Model</td><td>Price</td></tr><tr><td>Tesla Model S</td><td>$80,000</td></tr><tr><td>BMW X3</td><td>$60,000</td></tr><tr><td>Toyota Corolla</td><td>$20,000</td></tr><tr><td>Honda Civic</td><td>$25,000</td></tr></table></div></body></html>"
Extract the top 10 most popular car brands in the world.,<html><body><div><ul><li><h2>Brand: Toyota</h2><p>Popularity: 10%</p></li><li><h2>Brand: Volkswagen</h2><p>Popularity: 9%</p></li><li><h2>Brand: Ford</h2><p>Popularity: 8%</p></li></ul></div></body></html>
Extract the average car price in the United States.,"<html><body><div><p>The average car price in the United States is $35,000.</p></div></body></html>"
Extract the top 5 car brands in China.,<html><body><div><ul><li><h2>Brand: Wuling</h2><p>Popularity: 15%</p></li><li><h2>Brand: Geely</h2><p>Popularity: 12%</p></li><li><h2>Brand: Changan</h2><p>Popularity: 11%</p></li></ul></div></body></html>
Extract the countries and their corresponding capital cities from the country list.,<html><body><div><ul><li><h2>Country: France</h2><p>Capital: Paris</p></li><li><h2>Country: Germany</h2><p>Capital: Berlin</p></li><li><h2>Country: United Kingdom</h2><p>Capital: London</p></li></ul></div></body></html>
Extract the top 10 most popular websites in the world from the website traffic data.,<html><body><div><table><tr><td>Website</td><td>Traffic (in millions)</td></tr><tr><td>Google</td><td>92.61</td></tr><tr><td>YouTube</td><td>29.14</td></tr><tr><td>Facebook</td><td>20.22</td></tr></table></div></body></html>
Extract the top 5 highest-grossing movies of all time from the movie industry data.,<html><body><div><table><tr><td>Movie</td><td>Gross (in millions)</td></tr><tr><td>Avatar</td><td>2.9 billion</td></tr><tr><td>Avengers: Endgame</td><td>2.79 billion</td></tr><tr><td>Titanic</td><td>2.2 billion</td></tr></table></div></body></html>
Extract the top 10 most visited tourist destinations in the world from the tourism data.,<html><body><div><table><tr><td>Destination</td><td>Number of Visitors (in millions)</td></tr><tr><td>Paris</td><td>89.4</td></tr><tr><td>London</td><td>76.2</td></tr><tr><td>Bangkok</td><td>69.7</td></tr></table></div></body></html>
Extract the countries and their corresponding number of Nobel Prize winners from the Nobel Prize data.,<html><body><div><table><tr><td>Country</td><td>Number of Nobel Prizes</td></tr><tr><td>United States</td><td>387</td></tr><tr><td>United Kingdom</td><td>282</td></tr><tr><td>Germany</td><td>214</td></tr></table></div></body></html>
Extract the top 5 highest-grossing sports leagues in the world from the sports data.,<html><body><div><table><tr><td>League</td><td>Revenue (in billions)</td></tr><tr><td>National Football League (NFL)</td><td>16.5</td></tr><tr><td>Major League Baseball (MLB)</td><td10.7</td></tr><tr><td>National Basketball Association (NBA)</td><td9.1</td></tr></table></div></body></html>
Extract the countries and their corresponding number of Olympic medals from the Olympic data.,"<html><body><div><table><tr><td>Country</td><td>Number of Olympic Medals</td></tr><tr><td>United States</td><td>1,132</td></tr><tr><td>United Kingdom</td><td922</td></tr><tr><td>Germany</td><td822</td></tr></table></div></body></html>"
Extract the companies and their corresponding market capitalization from the stock market data.,<html><body><div><table><tr><td>Company</td><td>Market Capitalization (in billions)</td></tr><tr><td>Apple</td><td2.65</td></tr><tr><td>Microsoft</td><td2.25</td></tr><tr><td>Amazon</td><td1.75</td></tr></table></div></body></html>
Extract the countries and their corresponding number of internet users from the internet data.,<html><body><div><table><tr><td>Country</td><td>Number of Internet Users (in millions)</td></tr><tr><td>China</td><td928</td></tr><tr><td>India</td><td726</td></tr><tr><td>United States</td><td281</td></tr></table></div></body></html>
Extract the countries and their corresponding GDP per capita from the GDP data.,"<html><body><div><table><tr><td>Country</td><td>GDP per capita</td></tr><tr><td>United States</td><td>$65,280</td></tr><tr><td>Switzerland</td><td>$62,910</td></tr><tr><td>Norway</td><td>$60,140</td></tr></table></div></body></html>"
Extract the top 10 most populous cities in the world from the city population data.,<html><body><div><table><tr><td>City</td><td>Population</td></tr><tr><td>Tokyo</td><td>37.4 million</td></tr><tr><td>Shanghai</td><td>27.5 million</td></tr><tr><td>Delhi</td><td>26.5 million</td></tr></table></div></body></html>
Extract the top 5 highest-grossing video games of all time from the video game industry data.,<html><body><div><table><tr><td>Game</td><td>Gross (in millions)</td></tr><tr><td>Grand Theft Auto V</td><td>6.2 billion</td></tr><tr><td>Minecraft</td><td>2.5 billion</td></tr><tr><td>Tetris</td><td>1.8 billion</td></tr></table></div></body></html>
Extract the countries and their corresponding official languages from the language data.,"<html><body><div><table><tr><td>Country</td><td>Official Languages</td></tr><tr><td>India</td><td>Hindi, English, Bengali, Marathi, Telugu, Tamil, Gujarati, Malayalam, Kannada, Oriya</td></tr><tr><td>China</td><td>Mandarin, Cantonese, Wu, Min, Xiang, Hakka, Gan</td></tr><tr><td>United States</td><td>English</td></tr></table></div></body></html>"
Extract the top 10 most popular social media platforms in the world from the social media data.,<html><body><div><table><tr><td>Platform</td><td>Active Users (in millions)</td></tr><tr><td>Facebook</td><td>2.9 billion</td></tr><tr><td>YouTube</td><td>2.2 billion</td></tr><tr><td>WhatsApp</td><td>2 billion</td></tr></table></div></body></html>
Extract the top 10 most visited tourist destinations in the world from the tourism data.,<html><body><div><table><tr><td>Destination</td><td>Number of Visitors (in millions)</td></tr><tr><td>Paris</td><td>89.4</td></tr><tr><td>London</td><td>86.9</td></tr><tr><td>Bangkok</td><td>85.1</td></tr></table></div></body></html>
Extract the countries and their corresponding number of Nobel Prize winners from the Nobel Prize data.,<html><body><div><table><tr><td>Country</td><td>Number of Nobel Prizes</td></tr><tr><td>United States</td><td>385</td></tr><tr><td>United Kingdom</td><td>131</td></tr><tr><td>Germany</td><td109></tr></table></div></body></html>
Extract the companies and their corresponding market capitalization from the stock market data.,<html><body><div><table><tr><td>Company</td><td>Market Capitalization (in billions)</td></tr><tr><td>Apple</td><td>2.8 trillion</td></tr><tr><td>Microsoft</td><td>2.2 trillion</td></tr><tr><td>Amazon</td><td>1.7 trillion</td></tr></table></div></body></html>
Extract the countries and their corresponding number of Olympic medals from the Olympic data.,"<html><body><div><table><tr><td>Country</td><td>Number of Olympic Medals</td></tr><tr><td>United States</td><td>1,132</td></tr><tr><td>United Kingdom</td><td>806</td></tr><tr><td>Germany</td><td707></tr></table></div></body></html>"
Extract the countries and their corresponding number of internet users from the internet data.,<html><body><div><table><tr><td>Country</td><td>Number of Internet Users (in millions)</td></tr><tr><td>China</td><td>1.074 billion</td></tr><tr><td>India</td><td>750 million</td></tr><tr><td>United States</td><td>330 million</td></tr></table></div></body></html>
Extract the countries and their corresponding number of mobile phone users from the mobile phone data.,<html><body><div><table><tr><td>Country</td><td>Number of Mobile Phone Users (in millions)</td></tr><tr><td>China</td><td>1.44 billion</td></tr><tr><td>India</td><td>950 million</td></tr><tr><td>United States</td><td>320 million</td></tr></table></div></body></html>
"Extract the product names, prices, and descriptions from an online retailer's website.","<html><body><div><div>Product Name:</div><div>iPhone 14 Pro</div></div><div><div>Price:</div><div>$999</div></div><div><div>Description:</div><div>The latest and greatest iPhone from Apple.</div></div></div><div><div>Product Name:</div><div>MacBook Pro</div></div><div><div>Price:</div><div>$1,999</div></div><div><div>Description:</div><div>The most powerful MacBook Pro ever made.</div></div></div></body></html>"
"Extract the flight information, including the departure and arrival airports, departure and arrival times, and flight number, from a flight booking website.",<html><body><div><div>Flight Information:</div><div>Departure Airport:</div><div>Los Angeles International Airport</div></div><div><div>Arrival Airport:</div><div>New York City John F. Kennedy International Airport</div></div><div><div>Departure Time:</div><div>2023-09-01 10:00 AM</div></div><div><div>Arrival Time:</div><div>2023-09-01 12:00 PM</div></div><div><div>Flight Number:</div><div>AA123</div></div></div></body></html>
"Extract the restaurant names, cuisines, and ratings from a restaurant review website.",<html><body><div><div>Restaurant Name:</div><div>The French Laundry</div></div><div><div>Cuisine:</div><div>French</div></div><div><div>Rating:</div><div>5 stars</div></div></div><div><div>Restaurant Name:</div><div>Eleven Madison Park</div></div><div><div>Cuisine:</div><div>American</div></div><div><div>Rating:</div><div>4.5 stars</div></div></div></body></html>
"Extract the song titles, artists, and release dates from a music streaming service's website.",<html><body><div><div>Song Title:</div><div>Bohemian Rhapsody</div></div><div><div>Artist:</div><div>Queen</div></div><div><div>Release Date:</div><div>1975</div></div></div><div><div>Song Title:</div><div>Imagine</div></div><div><div>Artist:</div><div>John Lennon</div></div><div><div>Release Date:</div><div>1971</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Hip Hop Night</div></div><div><div>Date:</div><div>2023-09-03</div></div><div><div>Venue:</div><div>The Loft</div></div></div><div><div>Event Name:</div><div>EDM Night</div></div><div><div>Date:</div><div>2023-09-04</div></div><div><div>Venue:</div><div>The Warehouse</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Live Music</div></div><div><div>Date:</div><div>2023-09-05</div></div><div><div>Venue:</div><div>The Speakeasy</div></div></div><div><div>Event Name:</div><div>Comedy Night</div></div><div><div>Date:</div><div>2023-09-06</div></div><div><div>Venue:</div><div>The Comedy Club</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Techno Night</div></div><div><div>Date:</div><div>2023-09-07</div></div><div><div>Venue:</div><div>The Underground</div></div></div><div><div>Event Name:</div><div>R&B Night</div></div><div><div>Date:</div><div>2023-09-08</div></div><div><div>Venue:</div><div>The Palace</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Disco Night</div></div><div><div>Date:</div><div>2023-09-09</div></div><div><div>Venue:</div><div>The Disco</div></div></div><div><div>Event Name:</div><div>80s Night</div></div><div><div>Date:</div><div>2023-09-10</div></div><div><div>Venue:</div><div>The Flashback</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Latin Night</div></div><div><div>Date:</div><div>2023-09-11</div></div><div><div>Venue:</div><div>The Salsa Palace</div></div></div><div><div>Event Name:</div><div>Country Night</div></div><div><div>Date:</div><div>2023-09-12</div></div><div><div>Venue:</div><div>The Honky Tonk</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Karaoke Night</div></div><div><div>Date:</div><div>2023-09-13</div></div><div><div>Venue:</div><div>The Karaoke Bar</div></div></div><div><div>Event Name:</div><div>Open Mic Night</div></div><div><div>Date:</div><div>2023-09-14</div></div><div><div>Venue:</div><div>The Coffee House</div></div></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>90s Throwback Night</div></div><div><div>Date:</div><div>2023-09-15</div></div><div><div>Venue:</div><div>The Retro</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/1990s_rave_party_in_Berlin.jpg/1200px-1990s_rave_party_in_Berlin.jpg'></div><div><div>Event Name:</div><div>EDM Night</div></div><div><div>Date:</div><div>2023-09-16</div></div><div><div>Venue:</div><div>The Warehouse</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/EDM_festival.jpg/1200px-EDM_festival.jpg'></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Live Music</div></div><div><div>Date:</div><div>2023-09-17</div></div><div><div>Venue:</div><div>The Speakeasy</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Live_music_venue_in_London.jpg/1200px-Live_music_venue_in_London.jpg'></div><div><div>Event Name:</div><div>Comedy Night</div></div><div><div>Date:</div><div>2023-09-18</div></div><div><div>Venue:</div><div>The Comedy Club</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Comedy_club_in_London.jpg/1200px-Comedy_club_in_London.jpg'></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Disco Night</div></div><div><div>Date:</div><div>2023-09-21</div></div><div><div>Venue:</div><div>The Disco</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Disco_ball_01.jpg/1200px-Disco_ball_01.jpg'></div><div><div>Event Name:</div><div>80s Night</div></div><div><div>Date:</div><div>2023-09-22</div></div><div><div>Venue:</div><div>The Flashback</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/1980s_Nightclub.jpg/1200px-1980s_Nightclub.jpg'></div></body></html>
"Extract the event names, dates, and venues from a nightclub event listing website.",<html><body><div><div>Event Name:</div><div>Latin Night</div></div><div><div>Date:</div><div>2023-09-23</div></div><div><div>Venue:</div><div>The Salsa Palace</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Salsa_dancing.jpg/1200px-Salsa_dancing.jpg'></div><div><div>Event Name:</div><div>Country Night</div></div><div><div>Date:</div><div>2023-09-24</div></div><div><div>Venue:</div><div>The Honky Tonk</div></div></div><div><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Country_and_western_dancing.jpg/1200px-Country_and_western_dancing.jpg'></div></body></html>
Extract the book titles and their corresponding authors from the list of books.,<html><body><div><ul><li><h2>Book Title: To Kill a Mockingbird</h2><p>Author: Harper Lee</p></li><li><h2>Book Title: 1984</h2><p>Author: George Orwell</p></li><li><h2>Book Title: The Great Gatsby</h2><p>Author: F. Scott Fitzgerald</p></li></ul></div></body></html>
Extract the movie titles and their corresponding release years from the movie list.,<html><body><div><ul><li><h2>Movie Title: The Shawshank Redemption</h2><p>Release Year: 1994</p></li><li><h2>Movie Title: The Godfather</h2><p>Release Year: 1972</p></li><li><h2>Movie Title: Pulp Fiction</h2><p>Release Year: 1994</p></li></ul></div></body></html>
Extract the fruit names and their corresponding colors from the fruit list.,<html><body><div><ul><li><h2>Fruit: Apple</h2><p>Color: Red</p></li><li><h2>Fruit: Banana</h2><p>Color: Yellow</p></li><li><h2>Fruit: Orange</h2><p>Color: Orange</p></li></ul></div></body></html>
Extract the animal names and their corresponding habitats from the animal list.,<html><body><div><ul><li><h2>Animal: Tiger</h2><p>Habitat: Jungle</p></li><li><h2>Animal: Dolphin</h2><p>Habitat: Ocean</p></li><li><h2>Animal: Elephant</h2><p>Habitat: Savanna</p></li></ul></div></body></html>
Extract the programming language names and their corresponding paradigms from the list of programming languages.,<html><body><div><ul><li><h2>Language: Python</h2><p>Paradigm: Object-Oriented</p></li><li><h2>Language: JavaScript</h2><p>Paradigm: Prototype-Based</p></li><li><h2>Language: C++</h2><p>Paradigm: Multi-Paradigm</p></li></ul></div></body></html>
Extract the city names and their corresponding famous landmarks from the list of cities.,<html><body><div><ul><li><h2>City: Paris</h2><p>Landmark: Eiffel Tower</p></li><li><h2>City: Tokyo</h2><p>Landmark: Tokyo Skytree</p></li><li><h2>City: Rio de Janeiro</h2><p>Landmark: Christ the Redeemer</p></li></ul></div></body></html>
Extract the programming concepts and their corresponding descriptions from the list of concepts.,<html><body><div><ul><li><h2>Concept: Object-Oriented Programming</h2><p>Description: A programming paradigm based on the concept of objects</p></li><li><h2>Concept: Recursion</h2><p>Description: A function that calls itself as a subroutine</p></li><li><h2>Concept: Big O Notation</h2><p>Description: A way to describe the performance of an algorithm</p></li></ul></div></body></html>
Extract the planet names and their corresponding characteristics from the list of planets.,<html><body><div><ul><li><h2>Planet: Mars</h2><p>Characteristic: Reddish appearance</p></li><li><h2>Planet: Jupiter</h2><p>Characteristic: Largest planet in the solar system</p></li><li><h2>Planet: Saturn</h2><p>Characteristic: Prominent ring system</p></li></ul></div></body></html>
Extract the names of famous scientists and their corresponding contributions from the list.,<html><body><div><ul><li><h2>Scientist: Albert Einstein</h2><p>Contribution: Theory of General Relativity</p></li><li><h2>Scientist: Marie Curie</h2><p>Contribution: Discoveries of radium and polonium</p></li><li><h2>Scientist: Isaac Newton</h2><p>Contribution: Laws of Motion and Universal Gravitation</p></li></ul></div></body></html>
Retrieve the names and descriptions of mythical creatures from the ancient scroll.,<html><body><div><ul><li><h2>Creature: Phoenix</h2><p>Description: A majestic bird that is reborn from its ashes.</p></li><li><h2>Creature: Kraken</h2><p>Description: A giant sea monster that terrorizes sailors.</p></li><li><h2>Creature: Yeti</h2><p>Description: A legendary ape-like creature said to inhabit the Himalayas.</p></li></ul></div></body></html>
Extract the names and coordinates of potential destinations for interstellar travel.,"<html><body><div><ul><li><h2>Destination: Alpha Centauri</h2><p>Coordinates: RA 14h 39m 35.1s, Dec -60° 50' 15.1''</p></li><li><h2>Destination: Trappist-1e</h2><p>Coordinates: RA 23h 06m 29.4s, Dec -05° 02' 29.2''</p></li><li><h2>Destination: Gliese 581g</h2><p>Coordinates: RA 16h 53m 55.5s, Dec -06° 10' 11.2''</p></li></ul></div></body></html>"
Extract the names and magical effects of fantasy potions from the enchanted book.,<html><body><div><ul><li><h2>Potion: Elixir of Invisibility</h2><p>Effects: Renders the drinker invisible for one hour.</p></li><li><h2>Potion: Potion of Levitation</h2><p>Effects: Allows the drinker to float in mid-air for a short time.</p></li><li><h2>Potion: Phoenix Fire Potion</h2><p>Effects: Grants temporary immunity to fire and enhanced vitality.</p></li></ul></div></body></html>
Extract the names and magical effects of fantasy potions from the enchanted book.,<html><body><div><ul><li><h2>Potion: Elixir of Invisibility</h2><p>Effects: Renders the drinker invisible for one hour.</p></li><li><h2>Potion: Potion of Levitation</h2><p>Effects: Allows the drinker to float in mid-air for a short time.</p></li><li><h2>Potion: Phoenix Fire Potion</h2><p>Effects: Grants temporary immunity to fire and enhanced vitality.</p></li></ul></div></body></html>
